,log10_S,log10_Emax,EC2x,H
t25a_ris_v2,"0.2 [0.1, 0.2]","4.0 [2.7, 5.7]","16.7 [14.3, 19.2] (nM)","1.25 [1.19, 1.32]"
smn2_pt1_ris,"-2.2 [-2.2, -2.1]","4.9 [3.9, 6.0]","10.2 [7.2, 13.4] (nM)","1.61 [1.49, 1.75]"
smn2_pt2_ris,"-2.3 [-2.4, -2.3]","5.0 [4.0, 6.0]","10.9 [8.1, 14.0] (nM)","1.67 [1.55, 1.80]"
smn2_pt3_ris,"-1.4 [-1.4, -1.3]","5.0 [4.0, 6.0]","11.0 [8.0, 14.1] (nM)","1.74 [1.60, 1.87]"
t25a_bran_v5,"0.2 [0.1, 0.2]","2.5 [2.3, 2.8]","12.2 [10.0, 14.4] (nM)","1.37 [1.26, 1.48]"
smn2_pt1_bran,"-2.3 [-2.4, -2.3]","4.5 [3.2, 6.0]","16.2 [11.8, 20.8] (nM)","1.86 [1.62, 2.09]"
smn2_pt2_bran_v2,"-2.3 [-2.4, -2.2]","5.0 [3.9, 6.0]","8.2 [6.1, 10.4] (nM)","1.62 [1.51, 1.74]"
smn2_pt3_bran_v2,"-1.3 [-1.4, -1.3]","4.6 [3.6, 6.0]","6.2 [4.7, 8.0] (nM)","1.46 [1.36, 1.56]"
t25a_asoi7_v2,"0.1 [0.1, 0.2]","2.4 [2.3, 2.4]","0.2 [0.1, 0.2] (nM)","1.34 [1.26, 1.43]"
t25a_asoi6,"0.1 [0.1, 0.1]","1.7 [1.5, 2.0]","0.7 [0.6, 0.9] (nM)","1.07 [1.00, 1.17]"
elp1_rectas,"-0.2 [-0.3, -0.2]","2.0 [1.9, 2.1]","272.7 [226.1, 320.9] (nM)","1.13 [1.06, 1.22]"
elp1_aso,"-0.2 [-0.3, -0.2]","2.8 [2.0, 5.2]","100.8 [71.3, 134.3] (nM)","1.09 [1.00, 1.23]"
t25a_ris_bran_v2,"0.2 [0.1, 0.2]","2.9 [2.4, 4.8]","1.5 [1.1, 1.8] (1x)","1.36 [1.24, 1.49]"
t25a_ris_asoi6_v4,"0.1 [0.1, 0.2]","2.5 [2.4, 2.6]","1.9 [1.5, 2.2] (1x)","1.51 [1.41, 1.61]"
t25a_ris_asoi7_v2,"0.2 [0.1, 0.2]","2.5 [2.4, 2.6]","1.6 [1.4, 1.9] (1x)","1.59 [1.48, 1.70]"
t25a_bran_asoi6_v2,"0.1 [0.1, 0.1]","2.3 [2.2, 2.3]","1.9 [1.6, 2.1] (1x)","1.46 [1.38, 1.54]"
t25a_bran_asoi7,"0.2 [0.1, 0.2]","2.6 [2.5, 2.7]","2.2 [1.9, 2.6] (1x)","1.73 [1.62, 1.85]"
t25a_asoi6_asoi7_v3,"0.0 [-0.1, 0.1]","2.6 [2.2, 3.5]","3.9 [3.0, 4.8] (1x)","1.35 [1.20, 1.47]"
elp1_rectas_aso,"-0.0 [-0.1, 0.0]","4.2 [2.6, 6.0]","1.7 [1.3, 2.1] (1x)","1.67 [1.49, 1.85]"
